yyyymm,CDS_01,CDS_02,CDS_03,CDS_04,CDS_05,CDS_06,CDS_07,CDS_08,CDS_09,CDS_10,CDS_11,CDS_12,CDS_13,CDS_14,CDS_15,CDS_16,CDS_17,CDS_18,CDS_19,CDS_20
200305,0.0009,0.0007,-0.0002,0.0002,0.0005,0.0009,0.0,0.0007,0.001,0.0009,0.0015,0.0012,0.0018,0.0037,0.0005,0.0066,0.0053,0.0006,0.0012,0.0033
200306,0.0015,0.0019,0.0023,0.003,0.0019,0.0027,0.0032,0.0035,0.0041,0.0037,0.0046,0.0027,0.0049,0.0052,0.0055,0.0042,0.0099,0.0131,0.0149,0.0084
200307,0.0003,0.0016,0.0,0.0012,0.0007,0.0009,0.0019,0.0014,0.0026,0.0038,0.0042,0.0037,0.0031,0.0037,0.0041,0.006,0.0068,0.006,0.0119,0.0062
200308,0.001,0.001,0.0017,0.0001,0.001,0.0006,0.0004,0.0011,0.0017,0.0023,0.0012,0.0022,0.0011,0.0006,0.0016,0.0005,0.0049,-0.0018,0.0038,0.0144
200309,0.0005,0.0016,0.0007,0.0009,0.0017,0.0023,0.0016,0.0022,0.0023,0.0021,0.0019,0.002,0.0029,-0.0001,0.0054,0.0054,0.0107,0.0097,0.0052,0.0109
200310,0.0009,0.0013,0.0016,0.0024,0.0026,0.0028,0.0027,0.003,0.0034,0.0043,0.0035,0.0037,0.0025,0.0081,0.0081,0.0078,0.0179,0.0249,0.0282,0.0205
200311,0.0009,0.0006,0.0007,0.0009,0.0011,0.0009,0.0013,0.0012,0.0017,0.0017,0.0005,0.0025,0.0037,0.0026,0.004,0.0042,0.0074,0.0152,0.0093,0.0196
200312,0.0012,0.0013,0.0012,0.0013,0.0016,0.0014,0.0021,0.0013,0.0014,0.0026,0.0009,0.0021,0.0016,0.0022,0.0036,0.0034,0.0073,0.0068,0.0142,0.0252
200401,-0.0005,-0.0001,-0.0007,-0.0005,-0.0001,-0.0012,-0.001,-0.0006,-0.0005,-0.0008,0.0002,-0.0022,-0.0027,-0.0024,-0.001,-0.0014,-0.0011,0.0033,0.0035,0.0296
200402,0.0003,0.0004,0.0006,0.0001,-0.0007,-0.0003,-0.0001,-0.0003,0.0,-0.0006,-0.0012,0.001,0.0004,0.0003,-0.0006,0.0005,0.0009,-0.0036,-0.008,0.002
200403,0.0006,0.0003,0.0006,0.0,0.0007,0.0008,0.0012,0.0006,-0.0003,0.0007,0.0001,0.0011,-0.0004,0.0002,-0.0005,0.0005,0.0017,0.0051,0.0034,-0.0081
200404,0.0015,0.0013,0.0011,0.0016,0.0016,0.0011,0.0012,0.0017,0.0012,0.0019,0.0016,0.0016,0.0021,0.0028,0.0032,0.004,0.0038,0.0042,0.0134,0.0193
200405,0.0006,0.0007,0.0008,0.0005,0.0007,-0.0002,0.0005,0.0,0.0004,0.001,0.0,-0.0017,0.0002,0.0012,-0.0008,-0.0022,-0.0026,-0.0123,-0.0077,-0.0074
200406,0.0009,0.0005,0.0006,0.0008,0.0008,0.0003,-0.0004,0.0004,0.0014,0.002,0.0012,-0.0001,0.0003,0.0012,0.0015,0.0011,0.0023,0.0067,0.0078,0.0131
200407,0.0012,0.0005,0.0014,0.001,0.0014,0.0016,0.0012,-0.0017,0.0014,0.0013,0.0024,0.002,0.0021,0.0033,0.0026,0.0032,0.0032,0.0013,0.0071,0.0041
200408,0.001,0.0012,0.0016,0.0013,0.0013,0.0011,0.0018,0.0013,0.0015,0.0016,0.0002,0.0024,0.0022,0.0023,0.0023,0.0031,0.0025,0.0041,0.0081,0.003
200409,0.0012,0.0016,0.002,0.0012,0.0021,0.0025,0.0026,0.0027,0.0024,0.0031,0.004,0.0042,0.0053,0.0044,0.0062,0.0065,0.0068,0.0066,0.0041,0.0101
200410,0.0011,0.0014,0.0017,0.0018,0.0013,-0.0015,0.0015,0.0022,0.0022,0.0026,0.0015,0.0023,0.0039,0.003,0.0019,0.0034,0.0038,0.0088,0.0115,0.0128
200411,0.0017,0.0019,0.0026,0.003,0.0023,0.0033,0.0035,0.0039,0.0042,0.0039,0.0043,0.0055,0.0053,0.0069,0.0063,0.0055,0.0083,0.011,0.0137,0.0254
200412,0.002,0.0019,0.0021,0.0024,0.0025,0.0028,0.0027,0.0028,0.0023,0.0027,0.0023,0.003,0.0033,0.0031,0.0042,0.0038,0.0036,0.0087,0.0088,0.0141
200501,0.0013,0.0012,0.0014,0.0008,0.0008,0.0013,0.0014,0.0015,0.0005,0.0015,0.0015,0.0012,0.0018,0.0012,0.0007,0.0016,0.0017,0.0037,0.0007,0.0015
200502,0.002,0.0021,0.0025,0.0025,0.001,0.0028,0.0026,0.002,0.0032,0.0019,0.0031,0.0033,0.0038,0.0045,0.0048,0.0056,0.0081,0.0075,0.0103,0.0203
200503,0.0019,0.0017,0.0016,0.0016,0.0012,0.0016,0.0001,0.001,0.0012,0.002,0.0017,0.0012,-0.0004,0.0004,-0.002,0.0004,-0.0013,-0.0047,0.0,-0.0076
200504,0.0016,0.0015,0.0017,0.0012,0.0011,0.0015,-0.0006,0.0005,0.0003,-0.0021,-0.0012,-0.0033,-0.0027,0.0006,-0.0022,0.0012,-0.0072,-0.0065,-0.0073,-0.0177
200505,0.0018,0.0015,0.0006,0.0007,0.0009,0.0006,0.0,0.0005,0.0005,0.0008,-0.0008,0.0025,0.0014,0.0016,0.0015,0.0038,0.0027,0.0007,0.0028,0.001
200506,0.0022,0.0021,0.0025,0.0029,0.0025,0.0022,0.0023,0.0025,0.0029,0.003,0.0027,0.0031,0.0032,0.0029,0.0035,0.0056,0.002,0.0069,0.0089,0.0121
200507,0.0026,0.0031,0.0032,0.0032,0.0037,0.0037,0.0035,0.004,0.0038,0.0042,0.0043,0.005,0.0045,0.0055,0.0041,0.0055,0.0062,0.0102,0.01,0.022
200508,0.003,0.0026,0.003,0.0034,0.0034,0.0033,0.0035,0.0035,0.0026,0.0034,0.004,0.0032,0.0037,0.0037,0.0018,0.0029,-0.0006,0.0062,0.0036,0.0032
200509,0.0029,0.0032,0.0032,0.003,0.0028,0.0028,0.0033,0.0026,0.0029,0.0039,0.0028,0.003,0.0022,0.0018,0.003,-0.0031,0.0041,0.0031,0.0055,-0.0011
200510,0.0027,0.0028,0.0028,0.0028,0.0027,0.0024,0.0017,0.0018,-0.0003,0.0024,0.0016,0.0008,0.0009,0.0032,0.0014,0.0014,0.0021,0.0011,0.0051,0.0011
